Dosya_Adi,Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
ember_cb54e99508da.exe,245659,3.48,4.911,154,0,0
ember_3698afd37cd5.exe,1787392,12.61,4.451,11,0,0
ember_e8f60f6fce42.exe,286536,17.21,3.928,1,0,0
ember_38a2020fc99e.exe,53248,32.75,4.625,66,2,0
ember_e0c7568352d0.exe,387128,25.03,4.836,260,0,0
ember_21b7f7b5504a.exe,5003907,0.78,4.752,100,2,0
ember_8557da1477df.exe,116824,25.81,4.063,76,1,0
ember_cf974b2b5249.exe,8192,20.03,1.258,0,0,0
ember_a4c547d054de.exe,279552,18.01,4.702,128,1,0
ember_03c8e273551e.exe,1945837,0.81,4.539,126,0,0
ember_0e3738e5a150.exe,21688,23.68,3.56,61,1,0
ember_573ed0603270.exe,344064,21.92,4.955,82,0,0
ember_41c82b322d98.exe,808148,14.18,1.098,0,0,0
ember_8aaee1bb2e97.exe,1304168,16.02,5.004,390,1,0
ember_38c774841186.exe,230524,8.93,5.736,104,1,0
ember_cf5e185f050d.exe,1196544,2.05,4.687,1,0,0
ember_05b6217d143a.exe,1050572,10.53,1.322,0,0,0
ember_32f6a1506063.exe,1091997,4.79,5.552,149,1,0
ember_ae0f3d4cdae3.exe,1839616,14.01,4.897,1981,1,0
ember_f7ffac97a1eb.exe,119296,28.56,3.954,1,0,0
ember_de19fa8ddd4e.exe,8776,17.13,3.316,0,0,0
ember_315172621bf4.exe,10485760,0.78,4.578,171,0,0
ember_1a3c4d0f2366.exe,200083,9.31,1.114,0,0,0
ember_b00ebe9829af.exe,1612352,21.9,5.762,156,2,0
ember_155a604fbbff.exe,10480054,0.65,4.531,125,1,0
ember_281756845f4a.exe,1155185,17.57,5.213,524,2,0
ember_9cccad5ea7b0.exe,822272,10.8,6.439,0,0,0
ember_8f25be195002.exe,85696,27.75,3.404,1,0,0
ember_a730aac6b854.exe,89600,28.88,4.164,2,0,0
ember_e57b0cb1945c.exe,140873,82.47,4.911,69,0,0
ember_2e6efdd4d767.exe,10483225,0.54,5.175,158,0,0
ember_884eb0ac178e.exe,1378648,37.26,1.383,0,0,0
ember_efb14841492e.exe,10482165,0.79,4.551,165,0,0
ember_0659989f0309.exe,4703728,14.82,6.383,373,2,0
ember_e61cfa616967.exe,51544,46.36,4.301,38,1,0
ember_1ce42bdd7646.exe,423944,11.32,3.759,1,0,0
ember_dff9413c0adb.exe,86016,31.37,4.492,80,2,0
ember_1551fc43b156.exe,30118,63.29,2.032,49,0,0
ember_18e18c38165c.exe,5002260,0.46,7.945,6,0,0
ember_1168481e85ef.exe,283579,3.4,3.798,78,0,0
ember_41433dca3a0d.exe,803748,14.25,1.096,0,0,0
ember_086e078fb74b.exe,544768,47.59,3.04,1,0,0
ember_16f6739db8e4.exe,657515,13.87,1.099,0,0,0
ember_88c0f3b67e5d.exe,5001648,1.1,4.357,120,2,0
ember_d223573d3bb9.exe,21040,10.72,5.099,0,0,0
ember_080afb88eb98.exe,2482184,13.46,5.153,191,2,0
ember_b72e9013a620.exe,102400,13.04,5.705,98,0,0
ember_221eaacf9efc.exe,10485060,19.75,2.916,0,0,0
ember_103579547723.exe,325632,5.79,4.171,1,0,0
ember_f441916a4964.exe,970752,61.96,3.485,428,1,0
ember_335a42d3bac1.exe,247808,4.53,4.716,1,0,0
ember_73af535f0402.exe,10349056,4.15,5.379,26,0,0
ember_aba0d2f948c2.exe,440320,19.17,5.173,636,1,0
ember_1d6c9cd9ae34.exe,10485760,0.72,5.535,133,2,0
ember_12515e7046f8.exe,28160,26.72,5.341,55,1,0
ember_72e010c0e3a8.exe,150016,28.97,3.585,1,0,0
ember_11bf0fc55c2a.exe,22344,25.39,3.438,1,0,0
ember_040b595bba9d.exe,24576,31.76,2.556,0,0,0
ember_ba581830b33f.exe,232140,0.33,0.0,0,0,0
ember_e84ea581debd.exe,637992,9.46,5.513,195,1,0
ember_0ab7c04769ee.exe,5003048,1.58,3.718,119,2,0
ember_dd2f851da9fc.exe,20499,47.47,3.431,50,0,0
ember_7fb6313ecfc6.exe,221184,26.03,3.025,82,0,0
ember_f94ee37181a6.exe,99288,11.81,5.24,187,1,0
ember_fc54865cb889.exe,163328,12.6,4.539,1,0,0
ember_18d5285e0069.exe,4354048,1.0,5.798,16,1,0
ember_4c058e113257.exe,2973696,25.06,4.551,521,3,0
ember_b26cfae22a10.exe,9592080,34.54,5.424,565,2,0
ember_85486af68cdb.exe,254464,27.03,3.463,1,0,0
ember_bf37ec46b0c7.exe,4849664,2.74,5.561,106,2,0
ember_87b3721a3ec7.exe,1434275,16.88,4.799,210,2,0
ember_dc6c483137a1.exe,120320,24.62,2.797,138,1,0
ember_71071a68b12e.exe,5000932,1.93,4.616,194,0,0
ember_17165d830518.exe,934944,19.48,3.976,2477,1,0
ember_f18722681a72.exe,64512,25.72,3.724,1,0,0
ember_e251328ca65f.exe,233472,21.97,3.905,1,0,0
ember_745affb656be.exe,188264,13.65,5.027,1,0,0
ember_ba5f67bb8134.exe,43895,17.91,2.601,0,0,0
ember_180c37bbfcd8.exe,2509824,17.32,5.099,374,0,0
ember_a329c7728e95.exe,9504000,0.56,6.154,158,0,0
ember_062f6759630b.exe,300533,1.53,5.652,7,0,0
ember_0b4343acc202.exe,95232,23.12,4.442,101,1,0
ember_949384ec6b40.exe,818398,14.0,1.099,0,0,0
ember_641ddca35257.exe,1587293,2.22,5.366,59,0,0
ember_aa78ff6d0d8a.exe,7680,50.64,3.488,1,0,0
ember_cacd911352ff.exe,5002207,0.99,5.078,22,0,0
ember_77510648d73f.exe,1246720,31.63,3.299,1,0,0
ember_a39010b7056d.exe,1460080,20.69,4.599,191,2,0
ember_c36854828cbc.exe,245760,23.21,4.997,86,0,0
ember_d9317516163c.exe,529724,9.43,1.088,0,0,0
ember_08197bc6727a.exe,105984,8.42,2.832,1,0,0
ember_504353970390.exe,647168,10.02,1.666,0,0,0
ember_f695b5ad3f91.exe,74752,12.22,4.556,1,0,0
ember_69eb3d8b25ec.exe,8192,37.17,3.203,1,0,0
ember_4e3328f9213a.exe,5002564,1.23,4.773,167,0,0
ember_3d386b0a0a62.exe,4453888,0.82,6.222,12,0,0
ember_a87b1d2577f8.exe,19616,12.94,3.519,1,0,0
ember_e611eaaf4e80.exe,5000784,1.48,5.299,154,0,0
ember_389d5a2e6e49.exe,807550,14.19,1.097,0,0,0
ember_9ec773f117f8.exe,4505291,2.4,3.945,2,0,0
ember_4dea797e77c9.exe,13824,34.4,4.828,0,0,0
ember_b811e3c6f836.exe,1540096,0.12,3.542,0,0,0
ember_3497215df563.exe,13312,42.5,3.325,1,0,0
ember_e4c159aba63a.exe,27648,36.06,4.27,61,0,0
ember_af53c63313a2.exe,782848,0.86,0.0,0,0,0
ember_df8e10ad4026.exe,5003415,0.8,5.513,154,0,0
ember_5dc36a4dcbff.exe,5003967,0.7,5.175,158,0,0
ember_21eeeb374c33.exe,1574096,14.71,5.17,210,2,0
ember_533d8460cbfb.exe,332288,19.38,4.585,317,2,0
ember_0f7006d6d36f.exe,189952,14.39,5.319,100,1,0
ember_af3477ae72e9.exe,2736128,26.03,3.818,1,0,0
ember_c883b3d40192.exe,21004,22.9,5.322,27,1,0
ember_0404c08f7420.exe,12800,55.84,3.885,0,0,0
ember_cea54ab3749c.exe,352256,4.87,3.726,90,1,0
ember_c448ccbadee2.exe,15212520,57.75,2.062,0,0,0
ember_2b2a72c241a5.exe,29472,15.89,5.769,91,1,0
ember_c5a915247c35.exe,802881,14.27,1.096,0,0,0
ember_7b5e1a4e26ed.exe,1130840,95.64,0.825,0,0,0
ember_c7a104dfcf62.exe,97792,26.44,3.771,153,1,0
ember_1be66fd37b51.exe,1574438,19.1,4.136,125,0,0
ember_d585fe2421c8.exe,1921536,24.69,2.836,862,1,0
ember_9d571eb8a52d.exe,3649377,0.83,5.537,159,0,0
ember_b08e254baf90.exe,5001508,0.63,4.202,8,0,0
ember_beb8a2ab5e8f.exe,135737,4.26,4.203,8,0,0
ember_3150acd8d609.exe,2570316,15.55,5.79,268,2,0
ember_85da8e35b59c.exe,653076,2.05,4.426,83,0,0
ember_25a6d2ccb0b8.exe,1150876,23.47,5.048,311,2,0
ember_e6201fb76179.exe,559729,10.85,6.828,10,0,0
ember_7f93a93855f0.exe,803328,17.52,5.651,3068,0,0
ember_c37d66446e84.exe,15360,30.31,3.24,1,0,0
ember_313ec9d1f483.exe,69832,20.58,3.61,1,0,0
ember_1877b50fec08.exe,53456,22.8,4.028,47,0,0
ember_d1cff7d95053.exe,100472,25.6,3.461,1,0,0
ember_12524f9cd2c0.exe,168960,33.84,3.353,1,0,0
ember_c689b8a7cd0a.exe,28753,19.79,0.966,0,0,0
ember_dd96497acecf.exe,32768,40.91,3.97,46,1,0
ember_dc5ef3e77fbb.exe,67248,24.96,5.049,50,1,0
ember_520ea6087750.exe,334848,26.63,3.586,1,0,0
ember_50e7f4f51c5a.exe,367888,4.65,6.435,11,0,0
ember_feae90be78cc.exe,1921024,16.87,4.461,1,0,0
ember_927f261ee59f.exe,5002568,0.53,5.189,154,0,0
ember_5c08382a98c9.exe,1155185,17.57,5.213,524,2,0
ember_2a1d6c755e33.exe,799951,14.32,1.095,0,0,0
ember_095750d0d026.exe,280576,4.51,4.693,1,0,0
ember_1ebc01270ee6.exe,41176,24.16,3.792,1,0,0
ember_2c6b7f8e63ac.exe,1320532,3.03,3.804,171,0,0
ember_7677a63315db.exe,430592,20.46,5.144,194,2,0
ember_3e409b01af63.exe,887960,17.1,5.042,479,4,0
ember_35421dcd1d6f.exe,3072,54.65,4.006,0,0,0
ember_ecb8e20ee63f.exe,1071616,21.17,5.959,0,0,0
ember_181e0b7f4f6b.exe,555520,2.03,6.146,1,0,0
ember_02c59f8f96d5.exe,217088,8.82,6.51,143,1,0
ember_ef9ca9c6e4ce.exe,209920,2.8,6.291,20,0,0
ember_7dfeb5ae3a54.exe,237736,15.61,5.848,117,1,0
ember_2673abb0bc30.exe,1695822,5.81,3.293,62,0,0
ember_0ce6a96d0c00.exe,14336,34.21,3.697,1,0,0
ember_ecbbe4f17409.exe,5003577,0.78,4.746,154,0,0
ember_51821ca7f4f3.exe,2672032,13.5,5.502,282,2,0
ember_0c46daef033d.exe,458752,23.92,5.17,219,0,0
ember_a5d281756b7f.exe,32768,69.58,1.735,49,0,0
ember_9a722d349217.exe,1666232,14.02,5.625,148,1,0
ember_e6ee9cee4f52.exe,41984,35.3,2.716,42,1,0
ember_6c045f19d2b0.exe,228864,26.36,5.588,0,0,0
ember_f3db2509ee7f.exe,5001979,2.78,4.547,8,0,0
ember_e08b7bcb97f4.exe,1307648,29.83,3.219,1,0,0
ember_a3e6e83c8392.exe,275846,16.72,1.553,0,0,0
ember_b08d357dfeb5.exe,9728,32.85,3.249,1,0,0
ember_04da4dea02be.exe,23552,39.35,4.033,50,1,0
ember_65480079b4ad.exe,1689089,5.81,5.92,349,2,0
ember_a20101605370.exe,6144,64.79,3.85,10,0,0
ember_f3cb2b362a09.exe,183808,25.59,4.016,271,0,0
ember_8c62eb63788c.exe,461473,15.21,0.816,0,0,0
ember_582918bb21b3.exe,53248,41.95,3.233,1,0,0
ember_72cbe899803c.exe,4096,93.53,0.0,0,0,0
ember_adcd039c4e78.exe,7168,54.19,3.97,10,0,0
ember_49bbd1b3a300.exe,2020680,13.69,4.996,322,2,0
ember_cfc63331744f.exe,800814,14.31,1.095,0,0,0
ember_8ef54005d306.exe,950704,0.23,0.0,0,0,0
ember_6dd93861c97b.exe,24514408,1.08,4.841,108,0,0
ember_1a2257206778.exe,20584,14.3,3.469,1,0,0
ember_d30837397c34.exe,654569,13.94,1.099,0,0,0
ember_3052b78e912f.exe,131072,29.03,3.547,89,0,0
ember_b3dc1b430595.exe,10485760,0.78,4.384,122,2,0
ember_c900f43db244.exe,359424,20.21,4.675,229,1,0
ember_f883f38765da.exe,131584,13.94,5.402,383,1,0
ember_ac0d362b524f.exe,5003913,0.96,5.303,146,0,0
ember_57f247887bf9.exe,28160,50.83,3.737,0,0,0
ember_8b31991c24dd.exe,2568552,11.81,5.501,98,1,0
ember_833e7c934429.exe,11056,31.75,3.665,1,0,0
ember_5e421db6984b.exe,233984,26.11,3.652,1,0,0
ember_c5b876c107c8.exe,1321984,15.57,4.831,1,0,0
ember_4500cf261b7d.exe,701596,20.36,5.233,1,0,0
ember_6c73ab28e607.exe,681840,26.63,4.894,164,0,0
ember_422ed54ddd3b.exe,2241232,15.94,5.005,769,1,0
ember_602db70eaf17.exe,267264,34.85,4.204,1389,0,0
ember_aaac19ca4bad.exe,491520,19.98,5.005,112,0,0
ember_c43ac657c161.exe,20480,73.28,3.368,1,0,0
ember_9324505da679.exe,5000556,0.67,5.286,204,1,0
ember_d8bb4c63c16f.exe,81920,30.2,3.475,1,0,0
ember_13533601f8b1.exe,1153966,11.26,1.257,0,0,0
ember_49739064d92e.exe,1655857,6.4,2.554,0,0,0
ember_384f7bbb6a4c.exe,458752,23.17,3.897,697,0,0
ember_1c1c37cd5095.exe,39648,25.83,3.297,0,0,0
ember_fdb9359c7b0f.exe,103352,24.9,3.458,1,0,0
ember_8274218da209.exe,203384,20.87,4.226,7,0,0
ember_0f6c7efc12b3.exe,1777160,22.97,4.677,1854,1,0
ember_fecbf817dd5d.exe,10480822,0.54,5.548,154,0,0
ember_960e39752d33.exe,37376,55.09,3.845,0,0,0
