Dosya_Adi,Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
ember_8f84ad02bb0a.exe,966534,5.66,4.053,2,0,1
ember_a7de4af2e7a1.exe,1000448,1.21,5.323,15,1,1
ember_ed99b82af9a3.exe,434176,18.01,5.254,63,1,1
ember_8d4844aec19d.exe,1053696,10.93,5.709,81,1,1
ember_afd9a65a3887.exe,1755332,54.5,6.208,49,1,1
ember_7c94cc962cd2.exe,342240,2.0,6.344,41,0,1
ember_15d65262c6af.exe,86016,10.93,4.741,42,0,1
ember_dda7fa81c536.exe,967304,5.66,4.053,2,0,1
ember_65f56fc3d616.exe,660992,1.65,5.324,15,1,1
ember_091e2d888a53.exe,126967,10.91,5.704,54,0,1
ember_a694a1e26f1e.exe,500224,20.26,4.64,127,2,1
ember_5a8a55ff2004.exe,36864,30.06,5.101,52,1,1
ember_848457ff3b1e.exe,965824,5.67,4.053,2,0,1
ember_9addcd2dc779.exe,2738593,1.85,2.99,90,0,1
ember_dfe003ba9111.exe,967004,5.66,4.053,2,0,1
ember_ed1cc24a6147.exe,359936,19.05,4.694,15,1,1
ember_18417593bb81.exe,1955448,1.74,5.304,213,1,1
ember_14ba8ef4ce69.exe,967614,5.66,4.053,2,0,1
ember_1794213c7ce0.exe,1353340,2.33,7.512,8,0,1
ember_9314c7017eb3.exe,29804,31.6,5.747,7,0,1
ember_76923792ddef.exe,2855936,2.2,6.194,75,1,1
ember_9fbb0fe50791.exe,264192,21.7,5.587,1,0,1
ember_2f4275ba7853.exe,208896,30.46,4.792,14,0,1
ember_6c27a2c0b697.exe,503808,10.29,6.601,102,1,1
ember_b08732df4810.exe,151552,22.14,5.414,33,0,1
ember_f386a255b5b5.exe,276992,37.92,4.648,87,1,1
ember_013600c6bbbd.exe,500224,20.26,4.64,127,2,1
ember_9f208d4fc780.exe,330752,19.43,5.069,50,1,1
ember_9c7d6a7fc8df.exe,436736,8.98,4.582,1,0,1
ember_bc7cd7e97b73.exe,5267459,64.24,2.926,13,0,1
ember_6b134c473f17.exe,239104,11.33,4.643,3,0,1
ember_57a44e52e1b6.exe,458752,19.59,5.384,156,1,1
ember_4a89bf7f05f5.exe,88576,2.59,4.878,1,0,1
ember_63df99058e8c.exe,139264,20.26,5.557,54,0,1
ember_01e97d0c224c.exe,139264,20.26,5.557,54,0,1
ember_8f2cc82f4147.exe,965924,5.67,4.053,2,0,1
ember_d6dc86b03a74.exe,237866,22.12,4.968,156,2,1
ember_baacf4115f50.exe,503808,10.29,6.601,102,1,1
ember_f2ffd161208a.exe,155648,18.89,6.131,104,0,1
ember_c2581339913e.exe,964394,5.68,4.053,2,0,1
ember_78c545e28e7a.exe,966334,5.66,4.053,2,0,1
ember_56a824fb0bc6.exe,964854,5.67,4.053,2,0,1
ember_6c88d83b44f9.exe,440320,17.69,5.472,135,1,1
ember_d33a79d709ec.exe,182272,47.78,3.93,96,5,1
ember_90894da101cb.exe,1339392,43.83,5.661,0,0,1
ember_dfadb721b211.exe,751949,9.21,4.055,55,0,1
ember_937adbbf2907.exe,155648,18.89,6.131,104,0,1
ember_3c22b243ac00.exe,343613,6.12,5.037,61,0,1
ember_786cf63bcc04.exe,965474,5.67,4.053,2,0,1
ember_3fb6e8b517cf.exe,500224,20.26,4.64,127,2,1
ember_dbc1c1b671e3.exe,343567,6.12,5.037,61,0,1
ember_3109120ce2b4.exe,994815,22.85,4.307,1,0,1
ember_d7e858dc937d.exe,1424384,0.52,5.081,3,1,1
ember_0ed1f6435829.exe,343563,6.03,5.037,61,0,1
ember_6fb5d90bcdaf.exe,707425,6.69,4.322,9,0,1
ember_f5d720799458.exe,126850,10.92,5.704,54,0,1
ember_a4a517c720af.exe,477248,8.48,4.496,128,1,1
ember_0100c0614ffd.exe,155648,18.89,6.131,104,0,1
ember_4560a7370cf3.exe,99328,8.17,7.984,3,0,1
ember_f20efdd868e9.exe,963874,5.68,4.053,2,0,1
ember_b62ef5c49561.exe,1392128,2.53,5.176,21,0,1
ember_4ae60d76b619.exe,965234,5.67,4.053,2,0,1
ember_f45f5a66cb5b.exe,1066124,26.72,4.291,1,0,1
ember_dadd23e10d28.exe,968374,5.65,4.053,2,0,1
ember_32adfa9e461a.exe,963314,5.68,4.053,2,0,1
ember_e3a969956ba1.exe,2038278,19.71,3.535,1,0,1
ember_f949fe0c68b1.exe,358400,19.12,4.707,15,1,1
ember_eaf80b2d28dd.exe,49664,4.15,5.997,6,0,1
ember_9e5c8b113463.exe,99328,1.72,7.987,3,0,1
ember_5e6fc08f2e2c.exe,967024,5.66,4.053,2,0,1
ember_a90d2aa8d485.exe,961734,5.69,4.053,2,0,1
ember_dc4726faeb7c.exe,126862,10.92,5.704,54,0,1
ember_526a3b2e0858.exe,1353274,2.21,7.544,8,0,1
ember_3056d0ddbe79.exe,500224,20.26,4.64,127,2,1
ember_3e65eccc86d1.exe,343622,6.08,5.037,61,0,1
ember_822616d71dd0.exe,864256,30.42,4.407,46,0,1
ember_bf0577f3a299.exe,8704,49.28,3.444,7,0,1
ember_a2c0851772b0.exe,141312,73.42,5.036,3,0,1
ember_728c5d685d26.exe,503808,10.28,6.601,102,1,1
ember_312f4c69ea46.exe,265635,5.02,5.633,157,0,1
ember_42ad25e4228a.exe,429056,16.55,4.126,11,0,1
ember_736e47c6e046.exe,3446784,68.19,4.214,69,2,1
ember_8a83bbd818b7.exe,447704,18.56,5.773,311,2,1
ember_d07304ef4393.exe,458240,10.02,4.022,1,0,1
ember_1c159588eef7.exe,967104,5.66,4.053,2,0,1
ember_6795a3a4fde3.exe,966864,5.66,4.053,2,0,1
ember_a940c311cdd7.exe,23784,15.07,1.625,0,0,1
ember_44887e709503.exe,207360,10.15,5.516,1,0,1
ember_2f5573cb29e2.exe,126868,10.92,5.704,54,0,1
ember_587f9b5f4d28.exe,16735,46.17,3.017,0,0,1
ember_4b2d557727af.exe,1089536,18.54,3.652,0,0,1
ember_cf9b20fd8b3e.exe,1614694,24.4,4.291,1,0,1
ember_1b1b31e1cbb2.exe,323584,16.22,5.08,35,0,1
ember_6b69678a1b1a.exe,2738637,1.85,2.99,90,0,1
ember_dc5bf2ae95a6.exe,964594,5.67,4.053,2,0,1
ember_9353e1c7bb31.exe,83196,20.72,4.055,55,0,1
ember_1963931d648f.exe,610816,1.85,5.319,15,1,1
ember_9ee22d2bffcb.exe,163840,33.33,5.378,39,0,1
ember_95f37832cc24.exe,5267459,84.39,2.541,13,0,1
ember_4e585592b15f.exe,970354,5.64,4.053,2,0,1
ember_4aa48cff581c.exe,540622,34.69,4.055,55,0,1
ember_0c922627c91d.exe,3584,74.33,3.276,8,0,1
ember_1efde2fac5c0.exe,965474,5.67,4.053,2,0,1
ember_7547d3520bc6.exe,555952,17.53,5.445,349,2,1
ember_f0f8671c1081.exe,409600,15.55,5.054,24,0,1
ember_bfa6d8b5d834.exe,1625407,23.88,5.525,1,0,1
ember_c930af79dd8c.exe,155648,18.89,6.131,104,0,1
ember_e618eb1d02cc.exe,391864,36.68,5.263,12,1,1
ember_a7099ef8637f.exe,964244,5.68,4.053,2,0,1
ember_0292160a03ee.exe,965344,5.67,4.053,2,0,1
ember_f96b4a55c74b.exe,842240,4.08,5.297,104,2,1
ember_a79815e4812c.exe,966034,5.67,4.053,2,0,1
ember_9b27dfbd7deb.exe,3584,64.79,3.076,1,0,1
ember_eb8079d1f03e.exe,4205568,73.92,3.874,57,2,1
ember_c3048b399e5c.exe,964604,5.67,4.053,2,0,1
ember_f63045b15031.exe,963464,5.68,4.053,2,0,1
ember_52a36b3a4400.exe,964594,5.67,4.053,2,0,1
ember_972c29a912da.exe,1549824,3.02,5.323,1,0,1
ember_14e6f83b658a.exe,139664,4.6,5.675,15,0,1
ember_dc6f1ef495d2.exe,343447,6.04,5.037,61,0,1
ember_6abe06e6e80f.exe,246109,3.76,5.634,91,1,1
ember_126f88076620.exe,135172,26.29,5.929,34,0,1
ember_552c82fa6dd0.exe,707584,32.1,5.116,236,2,1
ember_571a996cec14.exe,67072,6.68,4.385,6,0,1
ember_50b287194cdb.exe,1287232,9.92,7.013,162,1,1
ember_b60e45048192.exe,1250816,6.77,6.766,114,1,1
ember_958033d27381.exe,123392,18.58,4.251,11,0,1
ember_196332d002ff.exe,965684,5.67,4.053,2,0,1
ember_af1a2dabf2e9.exe,967094,5.66,4.053,2,0,1
ember_e0bd8be82ce5.exe,1339392,43.83,5.661,0,0,1
ember_b17019bc1442.exe,262144,17.2,4.828,57,1,1
ember_d35f19629f83.exe,61952,15.63,3.728,77,2,1
ember_a0eca20b6bcf.exe,970594,5.64,4.053,2,0,1
ember_80749e3977b7.exe,963864,5.68,4.053,2,0,1
ember_b188a3593b18.exe,1478918,25.73,3.317,71,0,1
ember_036f24a6c4e2.exe,45478,1.45,5.789,0,0,1
ember_757d9ed7d065.exe,233472,19.31,5.444,108,1,1
ember_b4790cfae15b.exe,2293248,72.71,4.292,69,1,1
ember_aeedb241a264.exe,89770,6.87,7.865,3,0,1
ember_ec7f6d8f5202.exe,155648,18.89,6.131,104,0,1
ember_ddb7859bd535.exe,559752,12.15,5.847,185,2,1
ember_8f0d585dd79e.exe,1250816,6.77,6.766,114,1,1
ember_0c089599fd81.exe,960704,5.7,4.053,2,0,1
ember_7da3f651d849.exe,237898,22.12,4.968,156,2,1
ember_3a9dd4be641f.exe,964894,5.67,4.053,2,0,1
ember_c3e1209e45f3.exe,451584,9.34,6.337,105,1,1
ember_e4bfed99b534.exe,217454,15.97,5.413,104,0,1
ember_67b61f2d2864.exe,177152,19.57,4.336,2,0,1
ember_4e0a0c11eb1e.exe,3584,74.33,3.278,8,0,1
ember_6cd1bf106035.exe,713728,31.92,5.104,238,2,1
ember_7bdb1a4c5096.exe,99328,1.33,7.986,3,0,1
ember_2086e99a125c.exe,638976,20.29,5.253,264,2,1
ember_ce2906fa2156.exe,2211832,2.98,3.637,1,0,1
ember_d1976aa64196.exe,1503744,37.41,5.602,82,1,1
ember_a1fa252129b9.exe,1606424,1.28,4.697,8,0,1
ember_119e576b434f.exe,1339392,43.83,5.661,0,0,1
ember_ca3fdf688ff8.exe,307238,4.27,6.918,14,0,1
ember_83b5fd974056.exe,1961472,2.0,4.984,69,1,1
ember_e520e2fd17ef.exe,2015570,18.76,3.865,209,1,1
ember_1350b69450c3.exe,126951,10.91,5.704,54,0,1
ember_c8f2b27b10ee.exe,967374,5.66,4.053,2,0,1
ember_68b455775b59.exe,3584,74.33,3.271,8,0,1
ember_022318408af8.exe,968584,5.65,4.053,2,0,1
ember_9e950efa5e14.exe,139264,20.26,5.557,54,0,1
ember_8f156390a8cd.exe,739328,19.64,5.63,88,2,1
ember_e69ee9e7ffd0.exe,964654,5.67,4.053,2,0,1
ember_b32b4361a147.exe,78336,20.44,4.058,1,0,1
ember_1aa3c1e48ca6.exe,413696,16.84,5.356,77,1,1
ember_3c253007a7e5.exe,1339392,43.83,5.662,0,0,1
ember_40856e1d8306.exe,965464,5.67,4.053,2,0,1
ember_e1f99fa776c2.exe,964974,5.67,4.053,2,0,1
ember_d3dfeb7c6339.exe,1339392,43.83,5.66,0,0,1
ember_7d5f10ea9ee1.exe,137967,14.85,5.465,213,1,1
ember_ae08950360e4.exe,964504,5.67,4.053,2,0,1
ember_21af3e3b786a.exe,430084,29.57,6.868,13,0,1
ember_2ab8ece3d5e7.exe,283656,1.92,5.503,4,0,1
ember_cf7fa90423c6.exe,736256,12.24,5.118,78,1,1
ember_ed5b6dc3914f.exe,122880,45.43,4.261,0,0,1
ember_1c21bd2e5e94.exe,970664,5.64,4.053,2,0,1
ember_26bc4e1407f6.exe,294247,3.32,5.251,38,0,1
ember_50c848604ff0.exe,1112711,27.13,4.291,1,0,1
ember_e2f178751ade.exe,351677,4.22,7.771,11,0,1
ember_765e75079c96.exe,18967622,0.78,4.462,7,0,1
ember_871a2d4cb23c.exe,232832,1.3,4.023,36,0,1
ember_9cd6d63c1e9f.exe,893404,17.25,5.042,362,1,1
ember_32043400e94d.exe,123392,18.6,4.25,11,0,1
ember_0fac1f7cc083.exe,343450,6.04,5.037,61,0,1
ember_285cfa2cd60f.exe,3584,74.33,3.269,8,0,1
ember_90fdfa635f45.exe,858395,13.04,5.158,474,4,1
ember_643afac12ebe.exe,88576,2.59,4.878,1,0,1
ember_f1451c8503c7.exe,963934,5.68,4.053,2,0,1
ember_052626c99387.exe,3584,74.33,3.274,8,0,1
ember_ad42d09d0681.exe,716896,20.05,4.502,1,0,1
ember_b6affa502fc5.exe,656896,1.82,4.704,25,0,1
ember_5d696b633ade.exe,238602,22.21,4.969,156,2,1
ember_6aef44c85cde.exe,43688,23.9,4.755,28,0,1
ember_aa2b17c7296d.exe,131200,20.92,6.117,25,0,1
ember_30ec1128a355.exe,364032,2.55,6.154,9,0,1
ember_52013ecf99dd.exe,1894400,26.89,6.161,69,1,1
ember_d17ff8ec3b75.exe,155648,18.89,6.131,104,0,1
ember_27eefa860a27.exe,965204,5.67,4.053,2,0,1
ember_cdd2dd618a97.exe,1041408,1.66,5.176,21,0,1
ember_8a9f6b416688.exe,409600,43.45,6.001,13,0,1
ember_dd99ce3c1bf1.exe,1544355,24.36,4.613,105,1,1
ember_53af94759e17.exe,964514,5.67,4.053,2,0,1
ember_d75f14a21501.exe,246093,3.76,5.634,91,1,1
ember_e1fd398e2a5e.exe,965114,5.67,4.053,2,0,1
ember_2ceec665c17c.exe,290816,16.81,5.139,34,0,1
ember_8f88b93b2f42.exe,1256819,21.65,3.865,209,1,1
ember_7fb515204533.exe,155648,18.89,6.131,104,0,1
ember_c80d5f24c4e1.exe,965324,5.67,4.053,2,0,1
ember_f9275490e0e5.exe,77312,73.44,3.581,4,0,1
ember_e462a23da43f.exe,152184,1.72,5.818,5,0,1
ember_acbd89c490d3.exe,139264,20.26,5.557,54,0,1
ember_2c707e703e98.exe,151980,16.93,4.901,43,1,1
ember_5e68c229ef13.exe,524288,7.39,5.243,83,1,1
ember_d071ff3f3e37.exe,139264,20.26,5.557,54,0,1
ember_31a2241fae51.exe,962414,5.69,4.053,2,0,1
ember_ac0dbc5e0174.exe,3584,74.33,3.277,8,0,1
ember_8a7f42f5771b.exe,965814,5.67,4.053,2,0,1
ember_31b97559d635.exe,966164,5.66,4.053,2,0,1
ember_1eaa020b01c3.exe,324469,29.73,4.301,1,0,1
ember_0ec9f701d97c.exe,373216,47.58,1.933,132,1,1
ember_797e3ec0d8c2.exe,4096,65.58,5.301,8,1,1
ember_9afa00cf8e2c.exe,489984,16.05,5.155,107,1,1
ember_2410fe6a1d79.exe,303104,40.43,3.746,111,2,1
ember_9db87c5cd75b.exe,155648,18.89,6.131,104,0,1
ember_b35c4595db72.exe,966054,5.67,4.053,2,0,1
ember_2ea02d609d19.exe,318848,12.51,4.684,12,0,1
ember_33d2e43c857b.exe,285832,3.41,5.297,160,0,1
ember_fe78c8881bdf.exe,561288,12.06,5.864,187,2,1
ember_e89c7cb31f3f.exe,3584,74.33,3.273,8,0,1
ember_c2285de3aca3.exe,139264,20.26,5.557,54,0,1
ember_82e5a8624562.exe,373120,49.79,3.382,386,1,1
ember_7bdbc1c73670.exe,965404,5.67,4.053,2,0,1
ember_1fb1d6b8d619.exe,160256,12.1,5.665,0,0,1
ember_594c5fec3b79.exe,41517,17.62,4.147,1,0,1
ember_2045197d2854.exe,88576,2.59,4.878,1,0,1
ember_cc95088d4a90.exe,962974,5.68,4.053,2,0,1
ember_f9d7cdff7a83.exe,109787,11.79,4.492,171,0,1
ember_770159d7953b.exe,253956,11.46,4.88,9,1,1
ember_e8d8d8297991.exe,3584,74.33,3.274,8,0,1
ember_856715725a21.exe,5267459,78.09,2.668,13,0,1
ember_8db3bfcbfc68.exe,25862,83.82,4.218,25,0,1
ember_8c9f7c2868a1.exe,966094,5.67,4.053,2,0,1
ember_0618f53dd25e.exe,443351,41.73,5.153,60,2,1
ember_4f0db0790ea5.exe,238002,22.13,4.968,156,2,1
ember_fc6469c2b5e1.exe,23092,27.7,4.242,80,1,1
ember_e39e6c11c73d.exe,79058,21.26,5.265,44,0,1
ember_9baf3fba3a76.exe,139264,20.26,5.557,54,0,1
ember_82e2d995e613.exe,491520,8.38,4.003,1,0,1
ember_6ba50ee9e295.exe,885248,2.77,4.511,1,0,1
ember_bccb265d7b56.exe,968214,5.65,4.053,2,0,1
ember_5fa22d3a3e9c.exe,965484,5.67,4.053,2,0,1
ember_529dc3cfe01b.exe,559856,12.14,5.847,185,2,1
ember_d07b3439d802.exe,1089536,20.11,3.988,24,0,1
ember_0f7a0a16dd07.exe,139264,20.26,5.557,54,0,1
ember_41c81c79a914.exe,1054208,10.97,5.707,82,1,1
ember_0c24a0694780.exe,503808,10.29,6.601,102,1,1
ember_a076b3684af1.exe,106496,18.99,4.425,61,0,1
ember_2d77b740e422.exe,967844,5.66,4.053,2,0,1
ember_df8665c012e1.exe,965134,5.67,4.053,2,0,1
ember_d1b29857283e.exe,67438,49.55,4.041,1,0,1
ember_e99c23f616d5.exe,299008,24.57,5.326,87,0,1
ember_22dbf6c3f899.exe,99328,21.24,7.987,3,0,1
ember_9e16249ce93e.exe,947124,5.18,5.309,138,1,1
ember_1dfbc599420a.exe,3049088,25.53,4.543,23,0,1
ember_ef7f816fb981.exe,964594,5.67,4.053,2,0,1
ember_b5c4a24cece7.exe,964564,5.67,4.053,2,0,1
ember_e1410f9f21e4.exe,99328,8.83,7.989,3,0,1
ember_eb9dafa6fb5c.exe,965224,5.67,4.053,2,0,1
ember_73c568ede916.exe,965534,5.67,4.053,2,0,1
ember_be03ca5f72ee.exe,1371608,24.95,4.164,437,2,1
ember_2d1c2a2fe061.exe,245965,3.77,5.634,91,1,1
ember_343792d68e7c.exe,141784,21.0,4.958,93,1,1
ember_9e7e9a8d5092.exe,966994,5.66,4.053,2,0,1
ember_ae6f9271326e.exe,163184,43.93,4.441,85,1,1
ember_0f767c81faa2.exe,303104,8.93,5.63,68,0,1
ember_e97cc0a82b66.exe,503808,10.28,6.601,102,1,1
ember_541711e53d78.exe,3584,74.33,3.274,8,0,1
ember_e00cd6e2a69a.exe,1077248,17.77,3.917,17,1,1
ember_234a36bbeb08.exe,965794,5.67,4.053,2,0,1
ember_b0b8a7473228.exe,452650,13.89,6.389,119,1,1
ember_47ff4c80fe51.exe,965324,5.67,4.053,2,0,1
ember_8c3f914ee32f.exe,970654,5.64,4.053,2,0,1
ember_1bce1ed47d7f.exe,155648,18.89,6.131,104,0,1
ember_c8b7da9bc626.exe,567480,22.8,3.583,60,0,1
ember_6a5e2ac6fbf7.exe,152128,1.72,5.818,5,0,1
ember_d0d2d899eb72.exe,446669,68.92,4.055,55,0,1
ember_de25f49d131b.exe,965954,5.67,4.053,2,0,1
ember_5cfd134c67b2.exe,458752,20.1,4.128,18,0,1
ember_6ddf82bd3369.exe,2058752,31.78,5.463,114,2,1
ember_97e9b5a0adf4.exe,163840,23.06,4.708,191,0,1
ember_5f0da2f13e61.exe,500224,20.26,4.64,127,2,1
ember_c5e26a52b957.exe,966064,5.67,4.053,2,0,1
