Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
258536,13.02,5.29,101,1,0
288128,35.49,2.52,104,0,0
24576,88.87,0.984,0,0,0
5120,57.81,2.463,1,0,0
32512,13.75,2.817,1,0,0
22872,47.67,1.522,0,0,0
20840,17.16,2.739,1,0,0
3072,55.14,3.005,0,0,0
16896,41.9,2.584,1,0,0
4608,54.69,2.916,0,0,0
47368,40.31,2.654,0,0,0
5120,40.59,2.669,1,0,0
289152,18.93,5.14,156,2,0
38752,22.17,2.931,1,0,0
60416,51.62,3.045,0,0,0
566584,31.48,3.972,176,2,0
26664,22.21,3.27,0,0,0
8704,47.53,2.514,1,0,0
46160,29.05,5.087,0,0,0
685800,14.93,4.674,126,1,0
51000,21.95,2.97,1,0,0
354128,17.73,4.46,0,0,0
16264,17.35,2.732,1,0,0
539448,33.23,2.807,0,0,0
71072,57.88,1.16,0,0,0
37688,17.34,2.878,1,0,0
32592,22.6,2.669,1,0,0
5120,55.59,2.527,1,0,0
117128,20.69,3.914,139,1,0
18432,32.56,2.777,1,0,0
29064,20.14,2.704,1,0,0
17440,16.14,5.066,0,0,0
16232,17.81,2.793,1,0,0
16736,18.66,2.659,1,0,0
14136,19.09,2.529,1,0,0
590560,17.66,5.504,0,0,0
147120,48.95,3.237,0,0,0
32832,31.67,1.984,0,0,0
552960,17.89,3.437,169,1,0
5120,51.66,2.691,1,0,0
666240,13.2,5.756,0,0,0
1079296,16.48,4.613,96,1,0
5120,54.47,2.563,1,0,0
14392,17.2,2.934,0,0,0
1138104,14.86,5.158,271,1,0
852744,17.76,5.265,0,0,0
22584,48.3,1.528,0,0,0
16680,19.36,2.741,1,0,0
129472,25.76,3.348,89,1,0
14712,19.64,2.672,1,0,0
56760,15.7,3.881,56,1,0
19968,52.47,2.811,0,0,0
574040,14.55,4.465,100,1,0
27936,20.65,2.886,1,0,0
2167352,19.03,4.105,169,2,0
243640,19.02,5.232,456,1,0
